,지역,번지,본번,부번,아파트,면적,계약년월,계약일,가격,층,건축년도,도로명,비쌈,단가
1571,경기도 고양일산동구 식사동,1504,1504,0,위시티일산자이4단지,240.1813,201910,17,118000,4,2010,위시티4로 45,True,491.29553383215097
1940,경기도 고양일산서구 탄현동,1640,1640,0,일산두산위브더제니스,170.721,201910,26,120100,19,2013,일현로 97-11,True,703.4869758260554
1943,경기도 고양일산서구 탄현동,1640,1640,0,일산두산위브더제니스,170.721,201910,27,113300,7,2013,일현로 97-11,True,663.655906420417
2734,경기도 군포시 산본동,1240,1240,0,래미안 하이어스,178.76,201910,10,100000,24,2010,금산로 91,True,559.4092638174088
3807,경기도 남양주시 호평동,724,724,0,호평파라곤,210.98,201910,21,106500,2,2010,천마산로 65,True,504.78718361930044
4523,경기도 부천시 중동,1116,1116,0,리첸시아중동,156.04,201910,1,102000,14,2012,옥산로 7,True,653.6785439630864
4524,경기도 부천시 중동,1116,1116,0,리첸시아중동,151.09,201910,14,123000,61,2012,옥산로 7,True,814.0843206036137
4526,경기도 부천시 중동,1116,1116,0,리첸시아중동,140.61,201910,20,106500,46,2012,옥산로 7,True,757.4141241732451
4642,경기도 성남분당구 구미동,66,66,0,까치마을(3단지)(신원),162.87,201910,9,120000,15,1995,미금로 177,True,736.7839381101492
4673,경기도 성남분당구 금곡동,192,192,0,두산위브트레지움,147.6,201910,5,110000,9,2003,정자일로 55,True,745.2574525745258
4674,경기도 성남분당구 금곡동,192,192,0,두산위브트레지움,147.6,201910,5,104000,8,2003,정자일로 55,True,704.6070460704607
4740,경기도 성남분당구 서현동,96,96,0,시범우성,164.4,201910,2,124000,19,1991,중앙공원로 54,True,754.257907542579
4748,경기도 성남분당구 서현동,96,96,0,시범우성,193.99,201910,25,129000,7,1991,중앙공원로 54,True,664.9827310686118
4795,경기도 성남분당구 수내동,34,34,0,양지마을(금호1),193.85,201910,9,146500,15,1992,수내로 74,True,755.7389734330668
4810,경기도 성남분당구 수내동,71,71,0,푸른마을(벽산),176.77,201910,5,119500,15,1992,수내로 174,True,676.0196865984046
4884,경기도 성남분당구 야탑동,391,391,0,현대I-PARK,146.8267,201910,3,104000,14,2003,야탑로 125,True,708.3180375231481
4885,경기도 성남분당구 야탑동,391,391,0,현대I-PARK,146.8267,201910,12,105000,5,2003,야탑로 125,True,715.1287878839476
4937,경기도 성남분당구 정자동,01월 13일,13,1,동양정자파라곤(3단지),146.37,201910,7,114300,6,2004,정자일로 230,True,780.8977249436359
4938,경기도 성남분당구 정자동,01월 28일,28,1,로얄팰리스,145.89,201910,1,117000,19,2003,성남대로 449,True,801.9740900678594
4939,경기도 성남분당구 정자동,01월 28일,28,1,로얄팰리스,208.87,201910,15,130000,11,2003,성남대로 449,True,622.3967060851247
4940,경기도 성남분당구 정자동,180,180,0,미켈란쉐르빌,165.25,201910,29,124000,30,2003,정자일로 100,True,750.3782148260212
4946,경기도 성남분당구 정자동,6,6,0,분당파크뷰,162.869,201910,5,163500,17,2004,정자일로 248,True,1003.8742793287857
4954,경기도 성남분당구 정자동,12월 03일,12,3,성원상떼뷰101동,158.74,201910,21,120000,4,2004,정자일로213번길 10,True,755.9531309058838
4993,경기도 성남분당구 정자동,9,9,0,현대I-PARK1,160.83,201910,2,122800,3,2003,정자일로 239,True,763.5391407075793
4994,경기도 성남분당구 정자동,9,9,0,현대I-PARK1,187.48,201910,5,140000,21,2003,정자일로 239,True,746.7463196074249
4995,경기도 성남분당구 정자동,9,9,0,현대I-PARK1,146.1,201910,27,117000,18,2003,정자일로 239,True,800.8213552361397
4996,경기도 성남분당구 정자동,11,11,0,현대I-PARK3,163.74,201910,14,118000,5,2003,정자일로213번길 5,True,720.6546964700134
5000,경기도 성남분당구 판교동,623,623,0,판교원마을2단지(푸르지오),150.1,201910,1,166000,15,2009,판교로 30,True,1105.929380413058
