,지역,번지,본번,부번,아파트,면적,계약년월,계약일,가격,층,건축년도,도로명,비쌈
1256,경기도 고양덕양구 성사동,407-9,407,9,동원(407-9),49.32,201910,1,21290,4,1988,고양대로1407번길 25,True
1325,경기도 고양덕양구 주교동,609-2,609,2,우분투포레스트,39.423,201910,3,21700,10,2019,호국로777번길 11,True
1339,경기도 고양덕양구 토당동,Feb-99,99,2,장미APT,40.68,201910,7,26000,4,1988,지도로103번길 17,True
1340,경기도 고양덕양구 토당동,Feb-99,99,2,장미APT,40.68,201910,18,25500,4,1988,지도로103번길 17,True
1370,경기도 고양덕양구 행신동,983,983,0,샘터마을2,49.96,201910,11,20850,13,1996,충장로 118-30,True
1371,경기도 고양덕양구 행신동,983,983,0,샘터마을2,49.96,201910,17,21700,19,1996,충장로 118-30,True
1391,경기도 고양덕양구 행신동,785,785,0,소만마을(성원)6,49.77,201910,28,21500,10,1995,소원로 157,True
1421,경기도 고양덕양구 행신동,953,953,0,햇빛주공23,49.96,201910,24,20300,2,1996,화신로 105,True
1491,경기도 고양일산동구 마두동,789,789,0,강촌마을(라이프),47.55,201910,19,25900,11,1992,강석로 110,True
1815,경기도 고양일산서구 일산동,1086,1086,0,후곡마을(동아16),48.84,201910,25,21500,8,1995,강선로 141,True
1855,경기도 고양일산서구 주엽동,90,90,0,강선마을(동성),48.75,201910,9,25700,5,1994,호수로 710-1,True
1881,경기도 고양일산서구 주엽동,133,133,0,문촌마을(세경14),49.68,201910,7,25000,6,1999,킨텍스로 300,True
2073,경기도 광명시 광명동,732,732,0,중앙하이츠1,48.69,201910,19,22400,13,1993,도덕로 56,True
2128,경기도 광명시 철산동,625,625,0,도덕파크타운2단지,49.97,201910,5,38200,7,2001,가림일로 101,True
2129,경기도 광명시 철산동,625,625,0,도덕파크타운2단지,39.65,201910,8,28500,4,2001,가림일로 101,True
2130,경기도 광명시 철산동,625,625,0,도덕파크타운2단지,39.65,201910,11,28300,21,2001,가림일로 101,True
2131,경기도 광명시 철산동,625,625,0,도덕파크타운2단지,39.65,201910,22,29000,7,2001,가림일로 101,True
2132,경기도 광명시 철산동,625,625,0,도덕파크타운2단지,49.97,201910,26,38900,9,2001,가림일로 101,True
2133,경기도 광명시 철산동,625,625,0,도덕파크타운2단지,39.65,201910,26,28000,25,2001,가림일로 101,True
2134,경기도 광명시 철산동,625,625,0,도덕파크타운2단지,39.65,201910,29,30500,7,2001,가림일로 101,True
2135,경기도 광명시 철산동,625,625,0,도덕파크타운2단지,49.98,201910,30,40000,11,2001,가림일로 101,True
2136,경기도 광명시 철산동,625,625,0,도덕파크타운2단지,39.65,201910,30,28700,6,2001,가림일로 101,True
2146,경기도 광명시 철산동,105,105,0,저층주공10,47.25,201910,4,57800,4,1985,가마산로 11,True
2147,경기도 광명시 철산동,105,105,0,저층주공11,38.52,201910,7,48000,5,1985,가마산로 29,True
2157,경기도 광명시 철산동,626-1,626,1,철산리버빌 주공아파트,49.61,201910,8,32800,19,2001,안양천로502번길 12,True
2158,경기도 광명시 철산동,626-1,626,1,철산리버빌 주공아파트,49.61,201910,11,31500,14,2001,안양천로502번길 12,True
2170,경기도 광명시 하안동,682,682,0,주공1,41.3,201910,7,28000,5,1989,안현로 15,True
2171,경기도 광명시 하안동,682,682,0,주공1,36.34,201910,10,23300,2,1989,안현로 15,True
2172,경기도 광명시 하안동,682,682,0,주공1,49.94,201910,10,35500,8,1989,안현로 15,True
2173,경기도 광명시 하안동,682,682,0,주공1,41.3,201910,12,27300,15,1989,안현로 15,True
2174,경기도 광명시 하안동,682,682,0,주공1,41.3,201910,16,26700,7,1989,안현로 15,True
2175,경기도 광명시 하안동,30,30,0,주공10,45.77,201910,1,26000,3,1990,하안로 320,True
2176,경기도 광명시 하안동,30,30,0,주공10,45.55,201910,2,25000,1,1990,하안로 320,True
2178,경기도 광명시 하안동,30,30,0,주공10,45.77,201910,14,28600,14,1990,하안로 320,True
2181,경기도 광명시 하안동,27,27,0,주공11,49.94,201910,15,37900,8,1990,하안로 318,True
2182,경기도 광명시 하안동,27,27,0,주공11,41.3,201910,21,30500,15,1990,하안로 318,True
2183,경기도 광명시 하안동,27,27,0,주공11,36.16,201910,31,27700,5,1990,하안로 318,True
2187,경기도 광명시 하안동,110,110,0,주공12,44.89,201910,14,31500,13,1990,하안로 284,True
2188,경기도 광명시 하안동,681,681,0,주공2,45.77,201910,10,27500,15,1989,안현로 35,True
2189,경기도 광명시 하안동,650,650,0,주공3,49.94,201910,4,36000,5,1989,안현로 34,True
2190,경기도 광명시 하안동,650,650,0,주공3,36.34,201910,19,24900,15,1989,안현로 34,True
2191,경기도 광명시 하안동,650,650,0,주공3,36.16,201910,21,26800,13,1989,안현로 34,True
2192,경기도 광명시 하안동,650,650,0,주공3,49.94,201910,30,34300,4,1989,안현로 34,True
2193,경기도 광명시 하안동,651,651,0,주공4,45.9,201910,1,26000,15,1989,안현로 36,True
2194,경기도 광명시 하안동,651,651,0,주공4,45.77,201910,1,29000,11,1989,안현로 36,True
2195,경기도 광명시 하안동,651,651,0,주공4,45.77,201910,2,29500,14,1989,안현로 36,True
2196,경기도 광명시 하안동,651,651,0,주공4,45.9,201910,7,26800,4,1989,안현로 36,True
2197,경기도 광명시 하안동,651,651,0,주공4,45.9,201910,14,28200,5,1989,안현로 36,True
2199,경기도 광명시 하안동,651,651,0,주공4,45.55,201910,15,26700,10,1989,안현로 36,True
2204,경기도 광명시 하안동,296,296,0,주공6,41.3,201910,11,25000,15,1990,금당로 11,True
